seed,design,generator,replicate_count,correct_count,recovery_rate,median_log_evidence_margin,minimum_log_evidence_margin
7,heuristic_maximin,innovation_l2,200,168,0.84,2.370863092071815,0.015989971664971847
7,heuristic_maximin,surprise,200,166,0.83,2.231980360659616,0.057823111828959384
7,heuristic_maximin,gain,200,184,0.92,4.481044949432173,4.146743496136196e-05
7,heuristic_maximin,update_l2,200,183,0.915,3.6377256267286757,0.07554977876299063
7,heuristic_maximin,information_gain,200,178,0.89,3.7894046971621016,0.002462782765924487
7,heuristic_maximin,change_probability,200,195,0.975,8.48263787995816,0.014963841319399762
7,certified_integer_maximin,innovation_l2,200,170,0.85,2.544359373404669,0.0012180282734988168
7,certified_integer_maximin,surprise,200,153,0.765,1.763398782921188,0.0010887618280790434
7,certified_integer_maximin,gain,200,163,0.815,2.9126658322986447,0.029952119646040387
7,certified_integer_maximin,update_l2,200,151,0.755,1.6357895610814186,0.0005664630917436853
7,certified_integer_maximin,information_gain,200,146,0.73,1.8053502038969018,0.01787382673903437
7,certified_integer_maximin,change_probability,200,191,0.955,5.063948113851465,0.15624436037130351
11,heuristic_maximin,innovation_l2,200,166,0.83,2.3024986642055367,0.004581505820588916
11,heuristic_maximin,surprise,200,155,0.775,2.1856774921034177,0.018913756171507146
11,heuristic_maximin,gain,200,189,0.945,4.454267869790888,0.02624997808282359
11,heuristic_maximin,update_l2,200,186,0.93,3.7035164034001653,0.015589964133553735
11,heuristic_maximin,information_gain,200,170,0.85,4.022788756418635,0.12414149665198693
11,heuristic_maximin,change_probability,200,195,0.975,7.392091023319658,0.047698147319572115
11,certified_integer_maximin,innovation_l2,200,169,0.845,2.413170996967807,0.004635748437902265
11,certified_integer_maximin,surprise,200,143,0.715,1.7625061433579798,0.02673033480230913
11,certified_integer_maximin,gain,200,171,0.855,2.714811081653588,0.02662005762579156
11,certified_integer_maximin,update_l2,200,153,0.765,1.5946771740664474,0.031209347540261945
11,certified_integer_maximin,information_gain,200,143,0.715,2.0066179951054384,0.0008556368456247299
11,certified_integer_maximin,change_probability,200,184,0.92,4.880238456331114,0.14273230654612945
19,heuristic_maximin,innovation_l2,200,168,0.84,2.2663990487777426,0.01718431694705913
19,heuristic_maximin,surprise,200,150,0.75,2.1654303717821985,0.024464177346505522
19,heuristic_maximin,gain,200,184,0.92,4.818207899063886,0.011962138771430375
19,heuristic_maximin,update_l2,200,167,0.835,3.3799030416968012,0.016508853014620684
19,heuristic_maximin,information_gain,200,184,0.92,4.625042042377174,0.03273894211902473
19,heuristic_maximin,change_probability,200,191,0.955,8.18246635934211,0.00313147462063057
19,certified_integer_maximin,innovation_l2,200,166,0.83,2.4163963897329737,0.0008561319843636284
19,certified_integer_maximin,surprise,200,151,0.755,1.80185092580707,0.026437310936017866
19,certified_integer_maximin,gain,200,172,0.86,3.1242290725561155,0.0026623369757743376
19,certified_integer_maximin,update_l2,200,133,0.665,1.6571953314403594,0.03789957994277415
19,certified_integer_maximin,information_gain,200,146,0.73,2.030181611815136,0.005589918690425577
19,certified_integer_maximin,change_probability,200,182,0.91,5.668587772335426,0.025401509147279455
23,heuristic_maximin,innovation_l2,200,164,0.82,2.5163316176315895,0.002974129428505279
23,heuristic_maximin,surprise,200,159,0.795,2.205472551459371,0.005146518921758769
23,heuristic_maximin,gain,200,173,0.865,4.739307560921329,0.006971053873847666
23,heuristic_maximin,update_l2,200,183,0.915,3.4667460840671858,0.021056531448742533
23,heuristic_maximin,information_gain,200,175,0.875,4.258551239967007,0.0012091898314423588
23,heuristic_maximin,change_probability,200,192,0.96,7.720564828864887,0.018597892423983353
23,certified_integer_maximin,innovation_l2,200,159,0.795,2.782291634205338,0.0009879176030267445
23,certified_integer_maximin,surprise,200,150,0.75,1.732900030949148,0.006299553614422138
23,certified_integer_maximin,gain,200,173,0.865,2.5669721898872826,0.0032445805976735187
23,certified_integer_maximin,update_l2,200,148,0.74,1.752343444429858,0.03837867263441197
23,certified_integer_maximin,information_gain,200,148,0.74,2.1045538468034444,0.012118246894512907
23,certified_integer_maximin,change_probability,200,185,0.925,4.8889904825337585,0.08761845525354772
31,heuristic_maximin,innovation_l2,200,169,0.845,2.216623342313243,0.020811543625612217
31,heuristic_maximin,surprise,200,157,0.785,2.2485447247125663,0.01372465957428659
31,heuristic_maximin,gain,200,188,0.94,5.278517797038381,0.10002786879880432
31,heuristic_maximin,update_l2,200,172,0.86,3.3189306226121946,0.029335133508567424
31,heuristic_maximin,information_gain,200,170,0.85,3.5590486269567965,0.017401882997731377
31,heuristic_maximin,change_probability,200,194,0.97,7.746689205126872,0.08641809500532815
31,certified_integer_maximin,innovation_l2,200,167,0.835,2.449945971344926,0.060487250483234334
31,certified_integer_maximin,surprise,200,153,0.765,1.7568475230602179,0.018640464802992085
31,certified_integer_maximin,gain,200,171,0.855,2.922935267347187,0.049261356807939194
31,certified_integer_maximin,update_l2,200,142,0.71,1.4796783686643238,0.01668079180099724
31,certified_integer_maximin,information_gain,200,148,0.74,1.8146322100636105,0.01842186360967446
31,certified_integer_maximin,change_probability,200,185,0.925,5.532824461795972,0.00958530454727935
