scenario,candidate,audit_measure,replicates,successes,wrong_pure_calls,abstentions,rate,wilson_lower,wilson_upper,minimum_wilson_lower,contrast_enabled,reasons
matched_pure,innovation_l2,correct_pure_retention_rate,200,158,5,37,0.79,0.7283538314009755,0.84071587930021,0.7,True,"{""pairwise_composite_better"":1,""pure_ambiguity"":29,""pure_call"":163,""residual_lack_of_fit"":7}"
matched_pure,surprise,correct_pure_retention_rate,200,164,4,32,0.82,0.7608852497127511,0.8670537414057983,0.7,True,"{""pairwise_composite_better"":2,""pure_ambiguity"":25,""pure_call"":168,""residual_lack_of_fit"":5}"
matched_pure,gain,correct_pure_retention_rate,200,188,0,12,0.94,0.8980683070423372,0.9653478057456681,0.7,True,"{""pairwise_composite_better"":3,""pure_call"":188,""residual_lack_of_fit"":9}"
matched_pure,update_l2,correct_pure_retention_rate,200,181,0,19,0.905,0.8563983883518006,0.9383368972826135,0.7,True,"{""pairwise_composite_better"":4,""pure_ambiguity"":7,""pure_call"":181,""residual_lack_of_fit"":8}"
matched_pure,information_gain,correct_pure_retention_rate,200,188,0,12,0.94,0.8980683070423372,0.9653478057456681,0.7,True,"{""pairwise_composite_better"":3,""pure_ambiguity"":1,""pure_call"":188,""residual_lack_of_fit"":8}"
matched_pure,change_probability,correct_pure_retention_rate,200,183,0,17,0.915,0.8681041292843443,0.9462542498225244,0.7,True,"{""pairwise_composite_better"":7,""pure_call"":183,""residual_lack_of_fit"":10}"
null,null,correct_abstention_rate,200,197,3,197,0.985,0.9568342712073097,0.9948857622067417,0.7,True,"{""null_not_rejected"":196,""pure_ambiguity"":1,""pure_call"":3}"
fifty_fifty_mixture,innovation_l2+surprise,correct_abstention_rate,200,86,114,86,0.43,0.36334322333434416,0.4992951223584731,0.7,False,"{""null_not_rejected"":1,""pairwise_composite_better"":3,""pure_ambiguity"":80,""pure_call"":114,""residual_lack_of_fit"":2}"
fifty_fifty_mixture,innovation_l2+gain,correct_abstention_rate,200,168,32,168,0.84,0.7828592983793289,0.8843258796841297,0.7,True,"{""pairwise_composite_better"":103,""pure_ambiguity"":64,""pure_call"":32,""residual_lack_of_fit"":1}"
fifty_fifty_mixture,innovation_l2+update_l2,correct_abstention_rate,200,174,26,174,0.87,0.8163364812775159,0.9097179772033067,0.7,True,"{""pairwise_composite_better"":101,""pure_ambiguity"":73,""pure_call"":26}"
fifty_fifty_mixture,innovation_l2+information_gain,correct_abstention_rate,200,139,61,139,0.695,0.6280144790202163,0.7546358436926496,0.7,False,"{""pairwise_composite_better"":49,""pure_ambiguity"":89,""pure_call"":61,""residual_lack_of_fit"":1}"
fifty_fifty_mixture,innovation_l2+change_probability,correct_abstention_rate,200,166,34,166,0.83,0.7718411637168737,0.8757209208741302,0.7,True,"{""pairwise_composite_better"":98,""pure_ambiguity"":66,""pure_call"":34,""residual_lack_of_fit"":2}"
fifty_fifty_mixture,surprise+gain,correct_abstention_rate,200,187,13,187,0.935,0.8919809207009312,0.961623645350847,0.7,True,"{""pairwise_composite_better"":66,""pure_ambiguity"":121,""pure_call"":13}"
fifty_fifty_mixture,surprise+update_l2,correct_abstention_rate,200,163,37,163,0.815,0.7554293723884824,0.8626980719938395,0.7,True,"{""pairwise_composite_better"":74,""pure_ambiguity"":88,""pure_call"":37,""residual_lack_of_fit"":1}"
fifty_fifty_mixture,surprise+information_gain,correct_abstention_rate,200,123,77,123,0.615,0.5459986722024608,0.6796669027307678,0.7,False,"{""pairwise_composite_better"":43,""pure_ambiguity"":78,""pure_call"":77,""residual_lack_of_fit"":2}"
fifty_fifty_mixture,surprise+change_probability,correct_abstention_rate,200,161,39,161,0.805,0.7445595562538726,0.8539447946559949,0.7,True,"{""null_not_rejected"":1,""pairwise_composite_better"":109,""pure_ambiguity"":49,""pure_call"":39,""residual_lack_of_fit"":2}"
fifty_fifty_mixture,gain+update_l2,correct_abstention_rate,200,108,92,108,0.54,0.47082289188953336,0.6076694820002854,0.7,False,"{""pairwise_composite_better"":41,""pure_ambiguity"":64,""pure_call"":92,""residual_lack_of_fit"":3}"
fifty_fifty_mixture,gain+information_gain,correct_abstention_rate,200,143,57,143,0.715,0.6488465397039482,0.7730499699538271,0.7,False,"{""pairwise_composite_better"":60,""pure_ambiguity"":83,""pure_call"":57}"
fifty_fifty_mixture,gain+change_probability,correct_abstention_rate,200,200,0,200,1.0,0.9811546736227335,1.0,0.7,True,"{""pairwise_composite_better"":95,""pure_ambiguity"":105}"
fifty_fifty_mixture,update_l2+information_gain,correct_abstention_rate,200,94,106,94,0.47,0.40204754873265425,0.5390831708499817,0.7,False,"{""pairwise_composite_better"":25,""pure_ambiguity"":66,""pure_call"":106,""residual_lack_of_fit"":3}"
fifty_fifty_mixture,update_l2+change_probability,correct_abstention_rate,200,198,2,198,0.99,0.9642782382838231,0.9972533418664555,0.7,True,"{""pairwise_composite_better"":110,""pure_ambiguity"":88,""pure_call"":2}"
fifty_fifty_mixture,information_gain+change_probability,correct_abstention_rate,200,191,9,191,0.955,0.9167032959981803,0.976147456998507,0.7,True,"{""pairwise_composite_better"":133,""pure_ambiguity"":58,""pure_call"":9}"
out_of_span_probe,full_grid_orthogonalized_tanh_surprise,correct_abstention_rate,200,52,148,52,0.26,0.20413830063574687,0.3249074560253411,0.7,False,"{""null_not_rejected"":31,""pure_ambiguity"":18,""pure_call"":148,""residual_lack_of_fit"":3}"
