first_candidate,second_candidate,false_pure_call_rate,wilson_upper,sequential_reason_counts,independent_gate_pass_counts,best_constituent,best_constituent_residual,best_any_pure,best_any_pure_residual,oracle_two_component_residual,best_pure_profiled_gap_n_test_21,oracle_two_component_profiled_gap_n_test_21,weighted_candidate_correlation,weighted_pair_covariance_condition_number
innovation_l2,surprise,0.745,0.8003950482796865,"{""flexible_model_better"":3,""null_not_rejected"":3,""pure_ambiguity"":45,""pure_call"":149}","{""all_three_pass"":149,""flexible_adequacy_pass"":197,""pure_over_null_pass"":197,""winner_over_runner_pass"":153}",surprise,0.06476225526808417,surprise,0.06476225526808417,1.7834111285025804e-31,0.6588911673833898,1.8725816849277094e-30,0.8467944254803421,12.054612191382652
innovation_l2,gain,0.555,0.6221939899704665,"{""flexible_model_better"":31,""null_not_rejected"":6,""pure_ambiguity"":52,""pure_call"":111}","{""all_three_pass"":111,""flexible_adequacy_pass"":151,""pure_over_null_pass"":194,""winner_over_runner_pass"":143}",gain,0.44165477400362824,update_l2,0.23773950726644638,7.233792871118458e-32,2.239510748574044,7.595482514674381e-31,-0.02131984334093419,1.7613618463469893
innovation_l2,update_l2,0.62,0.6844099415132637,"{""flexible_model_better"":25,""null_not_rejected"":1,""pure_ambiguity"":50,""pure_call"":124}","{""all_three_pass"":124,""flexible_adequacy_pass"":160,""pure_over_null_pass"":199,""winner_over_runner_pass"":149}",update_l2,0.2576905807957704,update_l2,0.2576905807957704,5.256248004221645e-31,2.4074102515385984,5.519060404432727e-30,0.4213845233433928,2.823121945397039
innovation_l2,information_gain,0.58,0.6462640083838327,"{""flexible_model_better"":16,""null_not_rejected"":3,""pure_ambiguity"":65,""pure_call"":116}","{""all_three_pass"":116,""flexible_adequacy_pass"":170,""pure_over_null_pass"":197,""winner_over_runner_pass"":133}",information_gain,0.2286673248345743,information_gain,0.2286673248345743,2.511402930060989e-32,2.162266115687133,2.636973076564038e-31,0.4586862807960559,2.8800745735556
innovation_l2,change_probability,0.615,0.6796669027307678,"{""flexible_model_better"":26,""null_not_rejected"":3,""pure_ambiguity"":48,""pure_call"":123}","{""all_three_pass"":123,""flexible_adequacy_pass"":157,""pure_over_null_pass"":197,""winner_over_runner_pass"":150}",change_probability,0.2715733105685233,change_probability,0.2715733105685233,3.425330603757512e-31,2.522677090253475,3.596597133945387e-30,0.3569282136837277,2.4570981315526876
surprise,gain,0.485,0.5538915080725428,"{""flexible_model_better"":22,""null_not_rejected"":2,""pure_ambiguity"":79,""pure_call"":97}","{""all_three_pass"":97,""flexible_adequacy_pass"":151,""pure_over_null_pass"":198,""winner_over_runner_pass"":120}",gain,0.44477271898790127,update_l2,0.3334070092601476,4.191979116953257e-31,3.02124194263797,4.40157807280092e-30,-0.043754286693241884,1.755875929808455
surprise,update_l2,0.575,0.6414638745648614,"{""flexible_model_better"":13,""null_not_rejected"":1,""pure_ambiguity"":71,""pure_call"":115}","{""all_three_pass"":115,""flexible_adequacy_pass"":174,""pure_over_null_pass"":199,""winner_over_runner_pass"":128}",update_l2,0.28827138069547065,update_l2,0.28827138069547065,3.0044507132440885e-32,2.6596637002520334,3.1546732489062928e-31,0.32590264303136707,2.3238272821220116
surprise,information_gain,0.72,0.7776311022605097,"{""flexible_model_better"":11,""null_not_rejected"":2,""pure_ambiguity"":43,""pure_call"":144}","{""all_three_pass"":144,""flexible_adequacy_pass"":181,""pure_over_null_pass"":198,""winner_over_runner_pass"":157}",information_gain,0.1751311847924566,information_gain,0.1751311847924566,2.2232935278006252e-31,1.6944877739577782,2.3344582041906565e-30,0.6044310151366707,4.259069867164642
surprise,change_probability,0.67,0.7314257412939605,"{""flexible_model_better"":39,""null_not_rejected"":5,""pure_ambiguity"":22,""pure_call"":134}","{""all_three_pass"":134,""flexible_adequacy_pass"":158,""pure_over_null_pass"":195,""winner_over_runner_pass"":174}",change_probability,0.24059459272699615,change_probability,0.24059459272699615,1.4359733665351229e-31,2.263703136999608,1.507772034861879e-30,0.4498740075388434,2.9744407398573025
gain,update_l2,0.8,0.8495479907390189,"{""flexible_model_better"":5,""null_not_rejected"":1,""pure_ambiguity"":34,""pure_call"":160}","{""all_three_pass"":160,""flexible_adequacy_pass"":192,""pure_over_null_pass"":199,""winner_over_runner_pass"":165}",gain,0.1515439180125079,gain,0.1515439180125079,7.5579912038097065e-31,1.4815875834877898,7.935890764000191e-30,0.791530832607952,8.604108451760718
