design,budget_schedule,budget_factor,budget,allocation_source,point_id,count
coupled_novelty,fixed_budget,,60,frozen_override,29,4
coupled_novelty,fixed_budget,,60,frozen_override,77,5
coupled_novelty,fixed_budget,,60,frozen_override,83,5
coupled_novelty,fixed_budget,,60,frozen_override,129,12
coupled_novelty,fixed_budget,,60,frozen_override,131,1
coupled_novelty,fixed_budget,,60,frozen_override,134,3
coupled_novelty,fixed_budget,,60,frozen_override,135,2
coupled_novelty,fixed_budget,,60,frozen_override,158,12
coupled_novelty,fixed_budget,,60,frozen_override,162,6
coupled_novelty,fixed_budget,,60,frozen_override,182,1
coupled_novelty,fixed_budget,,60,frozen_override,210,9
uniform_factorial,fixed_budget,,60,frozen_override,0,1
uniform_factorial,fixed_budget,,60,frozen_override,2,1
uniform_factorial,fixed_budget,,60,frozen_override,4,1
uniform_factorial,fixed_budget,,60,frozen_override,5,1
uniform_factorial,fixed_budget,,60,frozen_override,7,1
uniform_factorial,fixed_budget,,60,frozen_override,10,1
uniform_factorial,fixed_budget,,60,frozen_override,12,1
uniform_factorial,fixed_budget,,60,frozen_override,14,1
uniform_factorial,fixed_budget,,60,frozen_override,21,1
uniform_factorial,fixed_budget,,60,frozen_override,28,1
uniform_factorial,fixed_budget,,60,frozen_override,35,1
uniform_factorial,fixed_budget,,60,frozen_override,41,1
uniform_factorial,fixed_budget,,60,frozen_override,46,1
uniform_factorial,fixed_budget,,60,frozen_override,49,1
uniform_factorial,fixed_budget,,60,frozen_override,54,1
uniform_factorial,fixed_budget,,60,frozen_override,55,1
uniform_factorial,fixed_budget,,60,frozen_override,57,1
uniform_factorial,fixed_budget,,60,frozen_override,58,1
uniform_factorial,fixed_budget,,60,frozen_override,62,1
uniform_factorial,fixed_budget,,60,frozen_override,70,1
uniform_factorial,fixed_budget,,60,frozen_override,71,1
uniform_factorial,fixed_budget,,60,frozen_override,74,1
uniform_factorial,fixed_budget,,60,frozen_override,90,1
uniform_factorial,fixed_budget,,60,frozen_override,103,1
uniform_factorial,fixed_budget,,60,frozen_override,108,1
uniform_factorial,fixed_budget,,60,frozen_override,111,1
uniform_factorial,fixed_budget,,60,frozen_override,115,1
uniform_factorial,fixed_budget,,60,frozen_override,117,1
uniform_factorial,fixed_budget,,60,frozen_override,132,1
uniform_factorial,fixed_budget,,60,frozen_override,140,1
uniform_factorial,fixed_budget,,60,frozen_override,145,1
uniform_factorial,fixed_budget,,60,frozen_override,157,1
uniform_factorial,fixed_budget,,60,frozen_override,160,1
uniform_factorial,fixed_budget,,60,frozen_override,163,1
uniform_factorial,fixed_budget,,60,frozen_override,164,1
uniform_factorial,fixed_budget,,60,frozen_override,170,1
uniform_factorial,fixed_budget,,60,frozen_override,175,1
uniform_factorial,fixed_budget,,60,frozen_override,176,1
uniform_factorial,fixed_budget,,60,frozen_override,177,1
uniform_factorial,fixed_budget,,60,frozen_override,178,1
uniform_factorial,fixed_budget,,60,frozen_override,179,1
uniform_factorial,fixed_budget,,60,frozen_override,180,1
uniform_factorial,fixed_budget,,60,frozen_override,181,1
uniform_factorial,fixed_budget,,60,frozen_override,186,1
uniform_factorial,fixed_budget,,60,frozen_override,195,1
uniform_factorial,fixed_budget,,60,frozen_override,197,1
uniform_factorial,fixed_budget,,60,frozen_override,200,1
uniform_factorial,fixed_budget,,60,frozen_override,202,1
uniform_factorial,fixed_budget,,60,frozen_override,204,1
uniform_factorial,fixed_budget,,60,frozen_override,205,1
uniform_factorial,fixed_budget,,60,frozen_override,209,1
uniform_factorial,fixed_budget,,60,frozen_override,211,1
uniform_factorial,fixed_budget,,60,frozen_override,217,1
uniform_factorial,fixed_budget,,60,frozen_override,219,1
uniform_factorial,fixed_budget,,60,frozen_override,227,1
uniform_factorial,fixed_budget,,60,frozen_override,230,1
uniform_factorial,fixed_budget,,60,frozen_override,231,1
uniform_factorial,fixed_budget,,60,frozen_override,233,1
uniform_factorial,fixed_budget,,60,frozen_override,234,1
uniform_factorial,fixed_budget,,60,frozen_override,237,1
maximin_optimized,fixed_budget,,60,frozen_override,0,3
maximin_optimized,fixed_budget,,60,frozen_override,5,2
maximin_optimized,fixed_budget,,60,frozen_override,11,1
maximin_optimized,fixed_budget,,60,frozen_override,18,3
maximin_optimized,fixed_budget,,60,frozen_override,23,3
maximin_optimized,fixed_budget,,60,frozen_override,120,8
maximin_optimized,fixed_budget,,60,frozen_override,125,8
maximin_optimized,fixed_budget,,60,frozen_override,131,1
maximin_optimized,fixed_budget,,60,frozen_override,138,8
maximin_optimized,fixed_budget,,60,frozen_override,143,7
maximin_optimized,fixed_budget,,60,frozen_override,192,3
maximin_optimized,fixed_budget,,60,frozen_override,197,4
maximin_optimized,fixed_budget,,60,frozen_override,210,4
maximin_optimized,fixed_budget,,60,frozen_override,215,4
maximin_optimized,fixed_budget,,60,frozen_override,219,1
