design,budget_schedule,budget_factor,budget,scenario,generator,replicates,correct_pure_calls,wrong_pure_calls,abstentions,rate,wilson_lower,wilson_upper
coupled_novelty,fixed_budget,,60,null,null,100,0,0,100,0.0,0.0,0.03699349820698566
coupled_novelty,fixed_budget,,60,matched_pure,innovation_l2,100,47,11,42,0.47,0.3751081795934127,0.5671114302990063
coupled_novelty,fixed_budget,,60,matched_pure,surprise,100,10,19,71,0.1,0.0552291370606751,0.17436566150491345
coupled_novelty,fixed_budget,,60,matched_pure,gain,100,4,7,89,0.04,0.01566330399154762,0.09837071435887917
coupled_novelty,fixed_budget,,60,matched_pure,update_l2,100,2,16,82,0.02,0.005501967550162357,0.07001179072854387
coupled_novelty,fixed_budget,,60,matched_pure,information_gain,100,57,5,38,0.57,0.47215389549212305,0.6626670147588988
coupled_novelty,fixed_budget,,60,matched_pure,change_probability,100,28,16,56,0.28,0.20139685211186215,0.37488028709921156
uniform_factorial,fixed_budget,,60,null,null,100,0,0,100,0.0,0.0,0.03699349820698566
uniform_factorial,fixed_budget,,60,matched_pure,innovation_l2,100,51,13,36,0.51,0.41348011934027173,0.6057800106955886
uniform_factorial,fixed_budget,,60,matched_pure,surprise,100,50,12,38,0.5,0.4038315303659957,0.5961684696340044
uniform_factorial,fixed_budget,,60,matched_pure,gain,100,77,4,19,0.77,0.6784561697712622,0.8415673411969654
uniform_factorial,fixed_budget,,60,matched_pure,update_l2,100,43,10,47,0.43,0.33733298524110106,0.5278461045078767
uniform_factorial,fixed_budget,,60,matched_pure,information_gain,100,60,8,32,0.6,0.5020025867910618,0.6905987135675411
uniform_factorial,fixed_budget,,60,matched_pure,change_probability,100,87,0,13,0.87,0.7901964855992357,0.9224283257275948
maximin_optimized,fixed_budget,,60,null,null,100,0,3,97,0.03,0.010254524024038925,0.08451936429052759
maximin_optimized,fixed_budget,,60,matched_pure,innovation_l2,100,77,10,13,0.77,0.6784561697712622,0.8415673411969654
maximin_optimized,fixed_budget,,60,matched_pure,surprise,100,72,9,19,0.72,0.6251197129007884,0.7986031478881379
maximin_optimized,fixed_budget,,60,matched_pure,gain,100,89,4,7,0.89,0.8136870349691969,0.9374580364293543
maximin_optimized,fixed_budget,,60,matched_pure,update_l2,100,85,1,14,0.85,0.7671644040916764,0.9069401471634336
maximin_optimized,fixed_budget,,60,matched_pure,information_gain,100,81,8,11,0.81,0.7222115462093562,0.8748524849023126
maximin_optimized,fixed_budget,,60,matched_pure,change_probability,100,96,0,4,0.96,0.9016292856411208,0.9843366960084523
