design,budget_schedule,budget_factor,budget,first_candidate,second_candidate,mixture_definition,replicates,false_pure_calls,constituent_pure_calls,abstentions,false_pure_call_rate,wilson_lower,wilson_upper,abstention_reasons
coupled_novelty,fixed_budget,,60,innovation_l2,surprise,"equal coefficients, then unit-SD scaling on full grid",200,70,62,130,0.35,0.28728824127358077,0.4183653566395992,"{""flexible_model_better"":2,""null_not_rejected"":4,""pure_ambiguity"":124,""pure_call"":70}"
coupled_novelty,fixed_budget,,60,innovation_l2,gain,"equal coefficients, then unit-SD scaling on full grid",200,79,57,121,0.395,0.32984101013207967,0.46411650840714636,"{""flexible_model_better"":9,""null_not_rejected"":1,""pure_ambiguity"":111,""pure_call"":79}"
coupled_novelty,fixed_budget,,60,innovation_l2,update_l2,"equal coefficients, then unit-SD scaling on full grid",200,52,20,148,0.26,0.20413830063574687,0.3249074560253411,"{""flexible_model_better"":2,""null_not_rejected"":3,""pure_ambiguity"":143,""pure_call"":52}"
coupled_novelty,fixed_budget,,60,innovation_l2,information_gain,"equal coefficients, then unit-SD scaling on full grid",200,65,25,135,0.325,0.26391571539234293,0.39268014883970037,"{""flexible_model_better"":1,""null_not_rejected"":3,""pure_ambiguity"":131,""pure_call"":65}"
coupled_novelty,fixed_budget,,60,innovation_l2,change_probability,"equal coefficients, then unit-SD scaling on full grid",200,92,63,108,0.46,0.3923305179997147,0.5291771081104667,"{""flexible_model_better"":3,""null_not_rejected"":1,""pure_ambiguity"":104,""pure_call"":92}"
coupled_novelty,fixed_budget,,60,surprise,gain,"equal coefficients, then unit-SD scaling on full grid",200,55,22,145,0.275,0.21779700329307355,0.34068339357669647,"{""null_not_rejected"":1,""pure_ambiguity"":144,""pure_call"":55}"
coupled_novelty,fixed_budget,,60,surprise,update_l2,"equal coefficients, then unit-SD scaling on full grid",200,52,10,148,0.26,0.20413830063574687,0.3249074560253411,"{""null_not_rejected"":1,""pure_ambiguity"":147,""pure_call"":52}"
coupled_novelty,fixed_budget,,60,surprise,information_gain,"equal coefficients, then unit-SD scaling on full grid",200,72,66,128,0.36,0.2966919730456654,0.42858471833996925,"{""flexible_model_better"":2,""null_not_rejected"":7,""pure_ambiguity"":119,""pure_call"":72}"
coupled_novelty,fixed_budget,,60,surprise,change_probability,"equal coefficients, then unit-SD scaling on full grid",200,79,61,121,0.395,0.32984101013207967,0.46411650840714636,"{""flexible_model_better"":3,""null_not_rejected"":1,""pure_ambiguity"":117,""pure_call"":79}"
coupled_novelty,fixed_budget,,60,gain,update_l2,"equal coefficients, then unit-SD scaling on full grid",200,38,14,162,0.19,0.14167171527790676,0.2500123870759985,"{""null_not_rejected"":4,""pure_ambiguity"":158,""pure_call"":38}"
