design,budget_schedule,budget_factor,budget,generator,replicates,correct_pure_calls,wrong_pure_calls,abstentions,correct_call_rate,wilson_lower,wilson_upper,raw_closed_set_winner_rate,abstention_reasons
coupled_novelty,fixed_budget,,60,innovation_l2,200,96,11,93,0.48,0.41179166378323306,0.5489621492718576,0.68,"{""flexible_model_better"":6,""null_not_rejected"":11,""pure_ambiguity"":76,""pure_call"":107}"
coupled_novelty,fixed_budget,,60,surprise,200,16,29,155,0.08,0.04984058588975997,0.12598948826714396,0.28,"{""flexible_model_better"":3,""null_not_rejected"":18,""pure_ambiguity"":134,""pure_call"":45}"
coupled_novelty,fixed_budget,,60,gain,200,6,15,179,0.03,0.013820314340111346,0.06389429245451923,0.425,"{""flexible_model_better"":1,""null_not_rejected"":6,""pure_ambiguity"":172,""pure_call"":21}"
coupled_novelty,fixed_budget,,60,update_l2,200,14,29,157,0.07,0.042152171828342806,0.11405480885610644,0.41,"{""null_not_rejected"":2,""pure_ambiguity"":155,""pure_call"":43}"
coupled_novelty,fixed_budget,,60,information_gain,200,104,8,88,0.52,0.45103785072814245,0.588208336216767,0.65,"{""flexible_model_better"":3,""null_not_rejected"":7,""pure_ambiguity"":78,""pure_call"":112}"
coupled_novelty,fixed_budget,,60,change_probability,200,70,23,107,0.35,0.28728824127358077,0.4183653566395992,0.635,"{""flexible_model_better"":3,""null_not_rejected"":1,""pure_ambiguity"":103,""pure_call"":93}"
uniform_factorial,fixed_budget,,60,innovation_l2,200,85,22,93,0.425,0.3585361254351385,0.49429067352145145,0.72,"{""flexible_model_better"":4,""null_not_rejected"":7,""pure_ambiguity"":82,""pure_call"":107}"
uniform_factorial,fixed_budget,,60,surprise,200,95,24,81,0.475,0.4069162264657108,0.5440260398531525,0.73,"{""flexible_model_better"":4,""null_not_rejected"":2,""pure_ambiguity"":75,""pure_call"":119}"
uniform_factorial,fixed_budget,,60,gain,200,148,11,41,0.74,0.6750925439746589,0.7958616993642531,0.83,"{""flexible_model_better"":5,""null_not_rejected"":10,""pure_ambiguity"":26,""pure_call"":159}"
uniform_factorial,fixed_budget,,60,update_l2,200,96,22,82,0.48,0.41179166378323306,0.5489621492718576,0.675,"{""flexible_model_better"":3,""null_not_rejected"":7,""pure_ambiguity"":72,""pure_call"":118}"
uniform_factorial,fixed_budget,,60,information_gain,200,124,16,60,0.62,0.5510671801561923,0.6844099415132637,0.78,"{""flexible_model_better"":3,""null_not_rejected"":1,""pure_ambiguity"":56,""pure_call"":140}"
uniform_factorial,fixed_budget,,60,change_probability,200,166,0,34,0.83,0.7718411637168737,0.8757209208741302,0.9,"{""flexible_model_better"":6,""null_not_rejected"":20,""pure_ambiguity"":8,""pure_call"":166}"
maximin_optimized,fixed_budget,,60,innovation_l2,200,152,16,32,0.76,0.6962665902079583,0.8139338400758631,0.84,"{""flexible_model_better"":2,""null_not_rejected"":7,""pure_ambiguity"":23,""pure_call"":168}"
maximin_optimized,fixed_budget,,60,surprise,200,150,18,32,0.75,0.6856590168795417,0.8049183199318249,0.82,"{""flexible_model_better"":1,""null_not_rejected"":7,""pure_ambiguity"":24,""pure_call"":168}"
maximin_optimized,fixed_budget,,60,gain,200,175,12,13,0.875,0.8219857499741765,0.9138802552428735,0.915,"{""flexible_model_better"":4,""pure_ambiguity"":9,""pure_call"":187}"
maximin_optimized,fixed_budget,,60,update_l2,200,160,20,20,0.8,0.7391448134346212,0.8495479907390189,0.835,"{""null_not_rejected"":2,""pure_ambiguity"":18,""pure_call"":180}"
maximin_optimized,fixed_budget,,60,information_gain,200,174,9,17,0.87,0.8163364812775159,0.9097179772033067,0.935,"{""flexible_model_better"":4,""null_not_rejected"":3,""pure_ambiguity"":10,""pure_call"":183}"
maximin_optimized,fixed_budget,,60,change_probability,200,183,5,12,0.915,0.8681041292843443,0.9462542498225244,0.935,"{""flexible_model_better"":3,""null_not_rejected"":7,""pure_ambiguity"":2,""pure_call"":188}"
